name,role,country,team,price
Quinton De Kock,Wicket Keeper,South Africa,MI,28000000
Lasith Malinga,Bowler,Sri Lanka,MI,20000000
Sherfane Rutherford,All Rounder,West Indies,MI,20000000
Chris Lynn,Batsman,Australia,MI,20000000
Rahul Chahar,Bowler,India,MI,19000000
Mitchell McClenaghan,Bowler,New Zealand,MI,10000000
Anmolpreet Singh,Batsman,India,MI,8000000
Dhawal Kulkarni,Bowler,India,MI,7500000
Jayant Yadav,All Rounder,India,MI,5000000
Saurabh Tiwary,Batsman,India,MI,5000000
Aditya Tare,Wicket Keeper,India,MI,2000000
Anukul Roy,All Rounder,India,MI,2000000
Mohsin Khan,Bowler,India,MI,2000000
Digvijay Deshmukh,All Rounder,India,MI,2000000
Prince Balwant Rai Singh,All Rounder,India,MI,2000000
KL Rahul,Batsman,India,KXIP,110000000
Glenn Maxwell,All Rounder,Australia,KXIP,107500000
Sheldon Cottrell,Bowler,West Indies,KXIP,85000000
Gowtham Krishnappa,Bowler,India,KXIP,62000000
Karun Nair,Batsman,India,KXIP,56000000
Mohammad Shami,Bowler,India,KXIP,48000000
Nicholas Pooran,Wicket Keeper,West Indies,KXIP,42000000
Mujeeb Zadran,Bowler,Afghanistan,KXIP,40000000
Chris Jordan,All Rounder,England,KXIP,30000000
Chris Gayle,Batsman,West Indies,KXIP,20000000
Ravi Bishnoi,Bowler,India,KXIP,20000000
Mandeep Singh,Batsman,India,KXIP,14000000
Mayank Agarwal,Batsman,India,KXIP,10000000
Hardus Viljoen,Bowler,South Africa,KXIP,7500000
Prabhsimran Singh,Wicket Keeper,India,KXIP,5500000
Deepak Hooda,All Rounder,India,KXIP,5000000
James Neesham,All Rounder,New Zealand,KXIP,5000000
Darshan Nalkande,All Rounder,India,KXIP,3000000
Sarfaraz Khan,All Rounder,India,KXIP,2500000
Arshdeep Singh,Bowler,India,KXIP,2000000
Harpreet Brar,All Rounder,India,KXIP,2000000
Jagadeesha Suchith,Bowler,India,KXIP,2000000
Murugan Ashwin,Bowler,India,KXIP,2000000
Ishan Porel,Bowler,India,KXIP,2000000
Tajinder Dhillon,All Rounder,India,KXIP,2000000
Ben Stokes,All Rounder,England,RR,125000000
Steve Smith,Batsman,Australia,RR,125000000
